,ra,dec,Vmag,plx,sy_dist,name
0,273.44087016708323,-21.058831686944444,3.85,0.09,11111.111111111111,* mu. Sgr                          
1,325.8769148160595,58.78004609373166,4.08,0.119,8403.361344537816,* mu. Cep                          
2,16.520998,-46.718410694444444,3.3,0.12,8333.333333333334,* bet Phe                          
3,250.423475,36.46131944444445,5.8,0.127,7874.0157480314965,M 13                               
4,264.400625,-3.2459166666666666,5.73,0.129,7751.937984496125,M 14                               
5,139.10693927783998,-67.47656533389001,3.27,0.1369,7304.601899196494,ASAS J091626-6728.7                
6,229.63841666666664,2.081027777777778,5.95,0.141,7092.198581560285,M 5                                
7,255.6570416666667,-26.267944444444442,5.57,0.142,7042.253521126761,M 19                               
8,175.87996798502996,-62.48939643496,5.03,0.1537,6506.180871828237,V* V810 Cen                        
9,253.50765574400455,-41.80638538865194,5.45,0.1599,6253.908692933084,HD 152234                          
10,254.28770833333328,-4.100305555555555,4.98,0.196,5102.04081632653,M 10                               
11,20.020485277439995,58.23161323441,4.98,0.2142,4668.534080298786,* phi Cas                          
12,167.14745319099998,-58.975038633492225,3.83,0.2228,4488.330341113106,* x Car                            
13,6.022329166666666,-72.08144444444444,4.09,0.232,4310.3448275862065,NGC 104                            
14,345.02125509105997,56.945375243419996,5.13,0.2507,3988.8312724371763,V* V509 Cas                        
15,229.01674599708997,-41.49116569804,5.171,0.2968,3369.2722371967657,HD 135345                          
16,172.94195262005,-59.44206069181,5.097,0.3254,3073.1407498463427,* omi01 Cen                        
17,156.86708333333328,-57.626111111111115,4.3,0.352,2840.909090909091,IC 2581                            
18,125.70806943076998,-26.34822297489,5.883,0.3596,2780.867630700779,HD 70761                           
19,177.61365440723998,-62.64938216026,5.702,0.3699,2703.433360367667,HD 102878                          
20,32.16907956816,58.423602976279994,5.68,0.3841,2603.4886748242643,HD 12953                           
21,160.98583333333332,-59.55305555555555,5.5,0.385,2597.402597402597,Cl Trumpler 14                     
22,167.14165761611997,-61.947175699119995,5.19,0.3851,2596.7281225655674,* z02 Car                          
23,92.43327206225999,23.11346450568,5.75,0.3878,2578.6487880350696,* 3 Gem                            
24,313.95751655381997,47.41765669263,5.64,0.3915,2554.2784163473816,HD 199478                          
25,168.15005513890998,-60.31762630127,4.62,0.3932,2543.23499491353,* y Car                            
26,265.175375,-53.67433333333333,5.17,0.416,2403.846153846154,NGC 6397                           
27,357.20904633327996,62.21451542342,5.59,0.4264,2345.215759849906,* 6 Cas A                          
28,282.7658333333333,-6.271944444444444,5.8,0.427,2341.92037470726,NGC 6705                           
29,130.15654669942333,-46.648740109134444,3.81,0.4312,2319.1094619666046,* b Vel                            
30,96.22458979253999,49.2878920061,4.75,0.4426,2259.3764121102577,* psi01 Aur                        
31,193.34122680427998,-60.32848919842,5.77,0.4436,2254.283137962128,HD 111904                          
32,163.12852503102,-57.24040501064,5.25,0.4441,2251.745102454402,HD 94367                           
33,192.82490011152998,-60.329788991140006,5.72,0.4534,2205.5580061755622,HD 111613                          
34,51.995466213739995,49.01952829638,4.989,0.4559,2193.4634788330773,Cl Melotte 20 772                  
35,174.0608333333333,-61.61611111111111,5.3,0.459,2178.649237472767,NGC 3766                           
36,197.02980487726998,-65.30602206293,5.53,0.4613,2167.7866897897247,* tet Mus                          
37,321.44593787311,36.66738449535,5.94,0.4642,2154.243860404998,* 69 Cyg                           
38,172.9533314481,-59.51564711643,5.14,0.4665,2143.6227224008576,* omi02 Cen                        
39,159.36278387149997,-58.73333781697,5.45,0.4675,2139.03743315508,HD 92207                           
40,160.66902689899996,-59.215758416990006,5.51,0.4715,2120.890774125133,HD 92964                           
41,183.09158275375998,-62.950773878670006,5.98,0.4874,2051.702913418137,HD 106068                          
42,200.56785899532,-52.182953159659995,5.91,0.4887,2046.245140167792,HD 116084                          
43,252.89050752177997,-41.230533199860005,5.22,0.4893,2043.7359493153483,HD 151804                          
44,295.2730346245833,13.815680614722224,5.99,0.49,2040.8163265306123,V* QS Aql                          
45,156.85196036829998,-57.63880511029,4.7,0.4976,2009.646302250804,V* V399 Car                        
46,297.99611984945,47.027338633039996,5.63,0.5038,1984.9146486701072,HD 188209                          
47,193.45383256527995,-60.37624162151,5.94,0.5061,1975.8940920766647,* kap Cru                          
48,301.15072617720995,32.21859814806,5.65,0.5098,1961.5535504119262,HD 190603                          
49,11.181327503027081,48.28436973261194,4.5,0.5116,1954.652071931196,* omi Cas                          
50,301.54791666666665,35.765,5.2,0.514,1945.5252918287936,NGC 6871                           
51,178.75004930308998,-63.27918076311,5.96,0.5163,1936.858415649816,HD 103516                          
52,139.67648299909,-51.56064960117,5.93,0.5375,1860.4651162790697,HD 80558                           
53,253.74377127993995,-41.15085918767,5.77,0.5417,1846.0402436773122,HD 152408                          
54,312.23454830059995,46.11413434584,4.86,0.5435,1839.9264029438825,* 55 Cyg                           
55,319.81535506196997,58.62350673846,5.75,0.5546,1803.1013342949875,HD 203338                          
56,109.67702081318916,-24.954361319371667,4.4,0.5765,1734.6053772766697,* tau CMa                          
57,253.49886304786995,-42.36202981513,4.79,0.5855,1707.9419299743809,* zet01 Sco                        
58,73.51254745279958,66.34267600708583,4.29,0.5916,1690.3313049357673,* alf Cam                          
59,137.76832538939,-44.86790237466,5.0,0.5935,1684.9199663016004,HD 79186                           
60,130.48712388091,-45.41071177768,5.227,0.599,1669.4490818030051,HD 74371                           
61,206.61416666666665,-62.91611111111111,5.9,0.603,1658.374792703151,NGC 5281                           
62,99.20291666666665,4.9719444444444445,5.1,0.617,1620.7455429497568,Cl Collinder 107                   
63,304.44667488891207,38.03293031463083,4.82,0.6251,1599.7440409534474,* P Cyg                            
64,99.27791666666667,6.001944444444445,4.6,0.635,1574.803149606299,Cl Collinder 106                   
65,247.42636572726997,-46.24323081461,5.37,0.6505,1537.2790161414298,HD 148379                          
66,298.00664297035,24.992163175610003,5.57,0.6566,1522.9972586049348,HD 187982                          
67,118.04583333333332,-38.536944444444444,5.8,0.665,1503.7593984962407,NGC 2477                           
68,88.07416666666667,32.544999999999995,5.6,0.666,1501.5015015015015,M 37                               
69,131.62727880032,-45.91250532175,5.459,0.6872,1455.1804423748545,HD 75149                           
70,250.33506495784,-48.76298068473,5.65,0.6934,1442.1690222094028,HD 150136                          
71,131.82851832332997,-46.15541627194,5.748,0.6948,1439.2630972941854,HD 75276                           
72,154.53162472613,-28.99199866209,5.53,0.7107,1407.0634585619812,HD 89353                           
73,96.30416531704999,7.08571071747,5.98,0.7141,1400.3640946646128,V* T Mon                           
74,179.69858099748998,-64.33955925728,5.6,0.7194,1390.0472616068946,HD 104035                          
75,105.06593071839998,16.07899588528,5.69,0.7209,1387.1549452073796,* 41 Gem                           
76,122.85788739942956,-42.98727792237056,4.75,0.7273,1374.9484394335213,HD 68601                           
77,100.91102357654998,3.93253034055,5.9,0.7433,1345.351809498184,HD 48434                           
78,112.46421790954999,-23.02429020597,4.86,0.7535,1327.1400132714002,HD 59612                           
79,193.98805677118997,-56.835805713970004,5.32,0.7576,1319.9577613516367,HD 112244                          
80,249.09401187491,-42.85886170216,5.52,0.7601,1315.6163662675963,HD 149404                          
81,268.85495144838995,26.04999123824,5.36,0.7608,1314.4058885383806,* 89 Her                           
82,84.82630647296,29.21521912581,5.984,0.762,1312.3359580052493,HD 37367                           
83,90.97993487767998,20.13845226149,4.63,0.7636,1309.586170770037,* chi02 Ori                        
84,247.92403654832995,-41.817147934910004,5.39,0.7734,1292.9919834497027,HD 148688                          
85,35.58930962794,55.845652875910005,5.17,0.7852,1273.5608762098827,* i Per                            
86,278.180508689005,-14.86566172224111,5.51,0.7958,1256.5971349585325,V* V450 Sct                        
